"k","alpha","ntop","lambda","nu","cindex","convergence","cutpoint_abs","z_cutpoint","lp_mean","lp_sd","cindex_dichot"
2,0,NA,0.349,0.056,0.599362995849821,TRUE,-5.89409924306997,0.8,-5.98230802169508,0.110260973281378,0.571542322169675
3,0,NA,0.349,0.056,0.589856191487308,TRUE,0.0758536625740928,1.4,-0.154764944847847,0.164727576729957,0.540874432969791
4,0,NA,0.349,0.056,0.632033587491555,TRUE,0.876438124746077,2,0.529317434025899,0.173560345360089,0.515321880127401
5,0,NA,0.349,0.056,0.602548016600714,TRUE,-2.21691664499622,1.4,-2.45656731193626,0.171179047814314,0.543021909082135
6,0,NA,0.349,0.056,0.641974712865554,TRUE,-7.81655333927104,1.4,-8.1731054936062,0.254680110239402,0.567874722517132
7,0,NA,0.349,0.056,0.651674548788727,TRUE,-2.38678083432108,0.6,-2.53628234043122,0.249169176850228,0.615384615384615
8,0,NA,0.349,0.056,0.65563169578226,TRUE,-2.14242763891627,1.4,-2.60530224597815,0.330624719329912,0.566837177878583
9,0,NA,0.349,0.056,0.651964096129717,TRUE,-8.79436781389668,1.4,-9.2828021036556,0.348881635542084,0.566258083196603
10,0,NA,0.349,0.056,0.653122285493678,TRUE,-4.72021909815401,1.4,-5.18775631822665,0.333955157194748,0.561504681015346
11,0,NA,0.349,0.056,0.64959945951163,TRUE,-3.58379159355211,0.8,-3.77323222525165,0.236800789624434,0.611741144677155
12,0,NA,0.349,0.056,0.653025769713348,TRUE,-6.75207670578971,1.2,-7.13223648633032,0.31679981711717,0.576923076923077
2,0.05,NA,0.349,0.056,0.643229418009845,TRUE,-7.21354146832365,0.6,-7.28024902471086,0.111179260645355,0.591738249203745
3,0.05,NA,0.349,0.056,0.613647331338674,TRUE,4.46126251057046,2,3.96984288069809,0.245709814936182,0.505235981082907
4,0.05,NA,0.349,0.056,0.652687964482193,TRUE,-9.48950361802642,0.8,-9.73332033401984,0.304770894991776,0.596877714506322
5,0.05,NA,0.349,0.056,0.647765659685359,TRUE,0.241713738445423,1,-0.081073090273119,0.322786828718542,0.578394942573111
6,0.05,NA,0.349,0.056,0.644870186275456,TRUE,-2.54936174260489,1.2,-2.73095381528635,0.151326727234553,0.555279413184056
7,0.05,NA,0.349,0.056,0.659878390116784,TRUE,-7.39284845859557,0.8,-7.65807855439285,0.331537619746603,0.600424669433452
8,0.05,NA,0.349,0.056,0.65563169578226,TRUE,-5.64674554646085,1.6,-6.20316111215805,0.347759728560749,0.547799440208474
9,0.05,NA,0.349,0.056,0.660264453238104,TRUE,-8.75473262125532,1,-9.20766343229814,0.452930811042821,0.618617894025673
10,0.05,NA,0.349,0.056,0.669095647138307,TRUE,-9.42029532992739,1,-9.90712990756646,0.486834577639071,0.610462310587781
11,0.05,NA,0.349,0.056,0.674404015056462,TRUE,-1.88460702827168,0.8,-2.22530247542439,0.425869308940886,0.622623298909372
12,0.05,NA,0.349,0.056,0.659540584885629,TRUE,-6.11786391473734,0.8,-6.42916138708359,0.389121840432814,0.594223530547245
2,0.1,NA,0.349,0.056,0.664800694913618,TRUE,-3.27845970523776,0.2,-3.31284222387737,0.171912593198044,0.609352379113985
3,0.1,NA,0.349,0.056,0.67218415210887,TRUE,-8.56619422125119,0.4,-8.72583830885871,0.399110219018806,0.637945179036773
4,0.1,NA,0.349,0.056,0.674017951935141,TRUE,-11.7812409284293,2,-12.53766482691,0.378211949240351,0.535638451886884
5,0.1,NA,0.349,0.056,0.671025962744909,TRUE,-12.6143685588367,0.8,-12.905605498503,0.364046174582838,0.597480938133385
6,0.1,NA,0.349,0.056,0.687674934851848,TRUE,-4.90048955163962,0.6,-5.05821400647276,0.262874091388568,0.617845767783032
7,0.1,NA,0.349,0.056,0.686130682366567,TRUE,-12.2374644333176,2,-13.0637201495636,0.413127858123009,0.535155872985233
8,0.1,NA,0.349,0.056,0.667551394653026,TRUE,0.771539316988466,2,0.21703442064133,0.277252448173568,0.532767107422063
9,0.1,NA,0.349,0.056,0.670881189074414,TRUE,-10.0495013015448,1.4,-10.7505593414405,0.500755742782591,0.568357301418782
10,0.1,NA,0.349,0.056,0.701959270340701,TRUE,-13.4996809164685,1,-13.8886728577675,0.388991941298969,0.597770485474375
11,0.1,NA,0.349,0.056,0.679422835633626,TRUE,-1.46904487721183,0.8,-1.84893152708611,0.47485831234285,0.619414149213396
12,0.1,NA,0.349,0.056,0.680822314448412,TRUE,-12.085634264828,1.4,-12.7529098754426,0.476625436153331,0.566378727922015
2,0.15,NA,0.349,0.056,0.680050188205772,TRUE,-2.9736116193864,2,-3.47097672455013,0.248682552581864,0.527603513174404
3,0.15,NA,0.349,0.056,0.680725798668082,TRUE,-7.46684219345981,1.8,-8.28960514408825,0.45709052812691,0.548547437506032
4,0.15,NA,0.349,0.056,0.684827719332111,TRUE,-14.3914732869019,0.4,-14.5648881413696,0.433537136169088,0.623805617218415
5,0.15,NA,0.349,0.056,0.691487308174887,TRUE,-15.8498828413038,1,-16.3949968632197,0.545114021915922,0.621971817392144
6,0.15,NA,0.349,0.056,0.713541163980311,TRUE,-4.58986780381631,2,-5.4041845378898,0.407158367036741,0.544035324775601
7,0.15,NA,0.349,0.056,0.702876170253837,TRUE,-16.4836682525809,2,-17.6818031269685,0.599067437193761,0.534986970369655
8,0.15,NA,0.349,0.056,0.707894990831001,TRUE,-13.154575624358,1.8,-13.9314754090185,0.431610991478029,0.55455554483158
9,0.15,NA,0.349,0.056,0.690666924042081,TRUE,-12.9417229084678,1.4,-13.7301072364414,0.563131662838296,0.576054434900106
10,0.15,NA,0.349,0.056,0.717257021523019,TRUE,-13.2078234287117,1.2,-13.7421055418241,0.445235094260326,0.585681883988032
11,0.15,NA,0.349,0.056,0.721262426406718,TRUE,-17.373644955162,1,-17.8210849386876,0.447439983525579,0.635170350352283
12,0.15,NA,0.349,0.056,0.687964482192839,TRUE,-12.1458385597249,1.2,-12.6826099788096,0.447309515903905,0.594923269954638
2,0.2,NA,0.349,0.056,0.686758034938712,TRUE,-11.1676952775106,1.6,-11.6589842239618,0.30705559153198,0.559188302287424
3,0.2,NA,0.349,0.056,0.685889392915742,TRUE,-17.222246494065,1.4,-17.8854960476432,0.473749681127241,0.565727246404787
4,0.2,NA,0.349,0.056,0.69534793938809,TRUE,-15.9779219044345,1.4,-16.6522551512002,0.481666604832628,0.573955216677927
5,0.2,NA,0.349,0.056,0.703600038606312,TRUE,-10.9427492548881,0.8,-11.3872563486997,0.555633867264442,0.620958401698678
6,0.2,NA,0.349,0.056,0.724881768169096,TRUE,-4.70347088991045,2,-5.69749739072691,0.497013250408231,0.54287713541164
7,0.2,NA,0.349,0.056,0.725846925972397,TRUE,-22.5874226411104,2,-23.9683847498588,0.690481054374215,0.545193514139562
8,0.2,NA,0.349,0.056,0.716243605829553,TRUE,-12.0449072037342,1.4,-12.70259069654,0.469773923432754,0.592196699160313
9,0.2,NA,0.349,0.056,0.716388379500048,TRUE,-15.4033840770437,0,-15.4033840770437,0.633470293773976,0.652639706592028
10,0.2,NA,0.349,0.056,0.727005115336357,TRUE,-12.9347445176242,1.4,-13.6526781809829,0.512809759541923,0.584933886690474
11,0.2,NA,0.349,0.056,0.783901167840942,TRUE,-9.45521940281866,1.2,-10.4092538692376,0.79502872201577,0.622912846250362
12,0.2,NA,0.349,0.056,0.725460862851076,TRUE,-16.8178267255591,1,-17.3984449313418,0.580618205782747,0.619076343982241
2,0.25,NA,0.349,0.056,0.690763439822411,TRUE,-12.7097532427011,2,-13.4402158082766,0.365231282787761,0.52632467908503
3,0.25,NA,0.349,0.056,0.707798475050671,TRUE,-7.41042356796958,1.4,-8.17231227956908,0.544206222571074,0.587636328539716
4,0.25,NA,0.349,0.056,0.704758227970273,TRUE,-17.1813220792392,1.4,-17.9172666285121,0.525674678052086,0.578853392529679
5,0.25,NA,0.349,0.056,0.719766431811601,TRUE,-10.4846951992487,0.4,-10.7224846005011,0.594473503131062,0.645039088891034
6,0.25,NA,0.349,0.056,0.733809477849628,TRUE,-8.14000147981538,1.6,-9.05531338536239,0.572069940966886,0.578974037255091
7,0.25,NA,0.349,0.056,0.746308271402374,TRUE,-24.6211967506974,1.2,-25.4873320415808,0.721779409069475,0.616204999517421
8,0.25,NA,0.349,0.056,0.72454396293794,TRUE,-11.0988220236522,1.2,-11.7286770967059,0.524879227544814,0.609352379113985
9,0.25,NA,0.349,0.056,0.739648682559598,TRUE,-15.944098700914,2,-17.387206072335,0.721553685710522,0.542563459125567
10,0.25,NA,0.349,0.056,0.778737573593282,TRUE,20.1109623893095,1.2,19.0850098259003,0.854960469507707,0.63476015828588
11,0.25,NA,0.349,0.056,0.80503812373323,TRUE,-10.1893050783513,1.2,-11.2438987975984,0.878828099372588,0.631285590193997
12,0.25,NA,0.349,0.056,0.82168709584017,TRUE,-25.6717052290602,1,-26.6295186749147,0.957813445854499,0.667913328829264
2,0.3,NA,0.349,0.056,0.698677733809478,TRUE,-13.7417021284339,2,-14.5882527622707,0.423275316918409,0.531319370717112
3,0.3,NA,0.349,0.056,0.715761026927903,TRUE,-7.70875091622509,1.2,-8.41720017572814,0.59037438291921,0.610751857928771
4,0.3,NA,0.349,0.056,0.710356143229418,TRUE,-17.5311473368027,1,-18.0929679376622,0.561820600859502,0.626942380079143
5,0.3,NA,0.349,0.056,0.744136666344947,TRUE,-12.1220801498929,1.6,-13.1682863895304,0.653878899773444,0.575475340218126
6,0.3,NA,0.349,0.056,0.737959656403822,TRUE,-10.0833882381342,1.4,-10.9620229500349,0.627596222786237,0.59743268024322
7,0.3,NA,0.349,0.056,0.764791043335585,TRUE,-22.7178856096519,2,-24.1971705462922,0.739642468320135,0.55226329504874
8,0.3,NA,0.349,0.056,0.778110221021137,TRUE,-19.3769225427012,2,-20.5942942651922,0.608685861245474,0.539354309429592
9,0.3,NA,0.349,0.056,0.757118038799344,TRUE,-19.779254308378,2,-21.249092376427,0.734919034024481,0.542177396004247
10,0.3,NA,0.349,0.056,0.798233761219959,TRUE,11.482288318597,2,9.69299849210697,0.894644913245007,0.540319467232893
11,0.3,NA,0.349,0.056,0.81652350159251,TRUE,-57.3399521347361,1.2,-58.4779160426613,0.948303256604319,0.62366084354792
12,0.3,NA,0.349,0.056,0.847698098639127,TRUE,-30.7849000555691,1.4,-32.3805441144717,1.13974575635902,0.60595019785735
2,0.35,NA,0.349,0.056,0.705096033201428,TRUE,-8.50979713331025,0.8,-8.86808811562707,0.447863727896021,0.606698195154908
3,0.35,NA,0.349,0.056,0.737235788051346,TRUE,-29.3898013197305,1.2,-30.1978705170167,0.673390997738464,0.618690280860921
4,0.35,NA,0.349,0.056,0.739359135218608,TRUE,-20.4359884318351,2,-21.7756469259741,0.66982924706952,0.536869028086092
5,0.35,NA,0.349,0.056,0.765080590676576,TRUE,-14.5565531438187,0.6,-14.9826708079331,0.710196106857223,0.66060225846926
6,0.35,NA,0.349,0.056,0.763584596081459,TRUE,-17.5151987708394,1.4,-18.4732346766232,0.684311361274138,0.603296013898272
7,0.35,NA,0.349,0.056,0.780137052408069,TRUE,-22.2855816503525,1.4,-23.3535365849168,0.762824953260217,0.601317440401506
8,0.35,NA,0.349,0.056,0.783708136280282,TRUE,-30.4386305666188,2,-32.0840931939123,0.822731313646739,0.538751085802529
9,0.35,NA,0.349,0.056,0.771788437409517,TRUE,-21.7536061177173,1.6,-22.9857140505978,0.770067458050299,0.573617411446772
10,0.35,NA,0.349,0.056,0.828781005694431,TRUE,-20.2201865638527,1.4,-21.6146860282205,0.996071045976969,0.616132612682174
11,0.35,NA,0.349,0.056,0.837901746935624,TRUE,-63.4048583124324,1.2,-64.683083455996,1.06518761963634,0.645183862561529
12,0.35,NA,0.349,0.056,0.860438181642699,TRUE,-34.7599119090567,2,-37.2267585160709,1.23342330350711,0.541960235498504
2,0.4,NA,0.349,0.056,0.714651095454107,TRUE,-9.49916369465972,2,-10.4659637662314,0.48340003578582,0.54565196409613
3,0.4,NA,0.349,0.056,0.752437023453335,TRUE,-30.8640264484182,1.2,-31.7112323311017,0.706004902236231,0.616663449473989
4,0.4,NA,0.349,0.056,0.744474471576103,TRUE,-21.4015070143424,1.8,-22.6028769092734,0.667427719406123,0.555617218415211
5,0.4,NA,0.349,0.056,0.783418588939292,TRUE,-16.2847037199141,1,-17.0446741471714,0.759970427257269,0.641564520799151
6,0.4,NA,0.349,0.056,0.782887752147476,TRUE,-18.936752789121,2,-20.4142688293587,0.738758020118867,0.547799440208474
7,0.4,NA,0.349,0.056,0.776710742206351,TRUE,-10.236308201896,2,-11.713550003398,0.738620900750996,0.550984460959367
8,0.4,NA,0.349,0.056,0.837756973265129,TRUE,-32.4707312943802,2,-34.4828286437539,1.00604867468687,0.552745873950391
9,0.4,NA,0.349,0.056,0.782791236367146,TRUE,-23.504801631336,1.4,-24.6308483781789,0.804319104887846,0.60385097963517
10,0.4,NA,0.349,0.056,0.854695492713059,TRUE,-35.6338544071608,2,-37.9961449911606,1.18114529199993,0.54603802721745
11,0.4,NA,0.349,0.056,0.853778592799923,TRUE,-51.1005283037221,1.2,-52.4301442458704,1.10801328512359,0.64088891033684
12,0.4,NA,0.349,0.056,0.830083968728887,TRUE,-20.6580800366842,2,-22.5706328445821,0.956276403948945,0.542032622333751
2,0.45,NA,0.349,0.056,0.719428626580446,TRUE,-7.80733617042266,2,-8.8185453875493,0.505604608563324,0.551056847794614
3,0.45,NA,0.349,0.056,0.767396969404498,TRUE,-33.6304846723627,1.2,-34.5205716305767,0.741739131844954,0.618473120355178
4,0.45,NA,0.349,0.056,0.759337901746936,TRUE,-25.4819510611048,1.8,-26.7454167181463,0.701925365023028,0.564810346491651
5,0.45,NA,0.349,0.056,0.799874529485571,TRUE,-18.8213441105343,0.6,-19.3080910172032,0.81124484444822,0.689460476787955
6,0.45,NA,0.349,0.056,0.802963034456134,TRUE,-21.3127464157373,2,-22.8987840140906,0.793018799176679,0.547799440208474
7,0.45,NA,0.349,0.056,0.785300646655728,TRUE,-9.49369238582422,2,-11.0669342610414,0.786620937608573,0.540150564617315
8,0.45,NA,0.349,0.056,0.856481034649165,TRUE,-38.9667349117105,2,-41.2059663152877,1.11961570178858,0.548668082231445
9,0.45,NA,0.349,0.056,0.792442814400154,TRUE,-24.9530906440528,1.4,-26.1266916285868,0.838286417524257,0.601317440401506
10,0.45,NA,0.349,0.056,0.866615191583824,TRUE,-53.8070617706551,2,-56.3850371339834,1.28898768166414,0.547534021812566
11,0.45,NA,0.349,0.056,0.861741144677155,TRUE,-53.7097104552591,2,-56.0449289281261,1.16760923643353,0.547534021812566
12,0.45,NA,0.349,0.056,0.845574751471866,TRUE,-24.4280851766314,1.4,-25.8886413115176,1.04325438206156,0.635363381912943
2,0.5,NA,0.349,0.056,0.727970273139658,TRUE,-8.01762021834895,1.4,-8.76712391572549,0.53535978384039,0.589349483640575
3,0.5,NA,0.349,0.056,0.780233568188399,TRUE,-34.7499989264151,2,-36.3041874129855,0.777094243285221,0.551370524080687
4,0.5,NA,0.349,0.056,0.754077791718946,TRUE,-27.777095274341,2,-29.1277769955791,0.675340860619067,0.546472348228935
5,0.5,NA,0.349,0.056,0.806148055207026,TRUE,-42.666871320625,0.6,-43.1735823384614,0.844518363060736,0.690811697712576
6,0.5,NA,0.349,0.056,0.820432390695879,TRUE,-26.167150576827,1.8,-27.7129598050425,0.858782904564164,0.567295627835151
7,0.5,NA,0.349,0.056,0.792732361741145,TRUE,-10.113756700879,1.6,-11.4303067771762,0.822843797685754,0.581748865939581
8,0.5,NA,0.349,0.056,0.843065341183283,TRUE,-39.6823148046246,2,-41.7431782209895,1.03043170818245,0.547172087636329
9,0.5,NA,0.349,0.056,0.853682077019593,TRUE,-31.0750188760943,1.4,-32.6742674851002,1.14232043500424,0.621392722710163
10,0.5,NA,0.349,0.056,0.85614322941801,TRUE,-41.2401336100294,2,-43.5738907781799,1.16687858407526,0.53732747804266
11,0.5,NA,0.349,0.056,0.87385387510858,TRUE,-59.4186328638766,2,-61.945663123374,1.26351512974868,0.553493871247949
12,0.5,NA,0.349,0.056,0.825837274394363,TRUE,-17.8222670908246,1.8,-19.4831679297117,0.922722688270652,0.566981951549078
2,0.55,NA,0.349,0.056,0.733230383167648,TRUE,-9.05890043288239,1,-9.62081288954497,0.561912456662583,0.614226426020654
3,0.55,NA,0.349,0.056,0.790802046134543,TRUE,-35.0611792153146,2,-36.6777184844167,0.808269634551024,0.549440208474085
4,0.55,NA,0.349,0.056,0.76387414342245,TRUE,-20.0786210335046,2,-21.4888273661074,0.705103166301388,0.557885339252968
5,0.55,NA,0.349,0.056,0.832110800115819,TRUE,-52.3450303771295,1,-53.3328410710934,0.987810693963876,0.655462793166683
6,0.55,NA,0.349,0.056,0.855226329504874,TRUE,-48.9302431181433,1.8,-51.0368394960663,1.17033132106838,0.56374867290802
7,0.55,NA,0.349,0.056,0.799343692693755,TRUE,-10.4434074935902,1.6,-11.8057862193527,0.851486703601551,0.581748865939581
8,0.55,NA,0.349,0.056,0.883167647910433,TRUE,-73.1667463169991,2,-76.0362112197922,1.43473245139656,0.555303542129138
9,0.55,NA,0.349,0.056,0.855033297944214,TRUE,-35.7735548090119,1.4,-37.3796750424658,1.14722873818139,0.621392722710163
10,0.55,NA,0.349,0.056,0.852427371875302,TRUE,-44.3361339650877,2,-46.5641635121135,1.1140147735129,0.536096901843451
11,0.55,NA,0.349,0.056,0.892143615481131,TRUE,-71.4873591410962,2,-74.4450299938767,1.47883542639021,0.554724447447158
12,0.55,NA,0.349,0.056,0.884470610944889,TRUE,-73.2622151509562,1.8,-75.8939373123681,1.46206786745105,0.559670881189074
2,0.6,NA,0.349,0.056,0.737235788051346,TRUE,-9.90807292654292,0.8,-10.3709878728065,0.578643682829459,0.630754753402181
3,0.6,NA,0.349,0.056,0.801032718849532,TRUE,-34.662598742838,2,-36.3265901580399,0.831995707600961,0.549440208474085
4,0.6,NA,0.349,0.056,0.772464047871827,TRUE,-20.3339128497275,1.8,-21.6649750044219,0.739478974830224,0.56565485956954
5,0.6,NA,0.349,0.056,0.852813434996622,TRUE,-59.516139302506,2,-61.7651937591235,1.12452722830874,0.547847698098639
6,0.6,NA,0.349,0.056,0.861355081555834,TRUE,-58.1384765566841,1.8,-60.3288694481361,1.21688493969552,0.569129427661423
7,0.6,NA,0.349,0.056,0.80465206061191,TRUE,-9.9581182769816,2,-11.7119668134807,0.876924268249527,0.54632757455844
8,0.6,NA,0.349,0.056,0.89059936299585,TRUE,-77.8452997579863,2,-80.8604829368987,1.50759158945619,0.555303542129138
9,0.6,NA,0.349,0.056,0.871054917479008,TRUE,-57.3280575407535,1.4,-59.1603046234244,1.30874791619353,0.619003957146994
10,0.6,NA,0.349,0.056,0.892047099700801,TRUE,-81.1472045639688,2,-84.1106309686323,1.48171320233175,0.544228356336261
11,0.6,NA,0.349,0.056,0.883264163690763,TRUE,-57.6640334257086,1.8,-60.1251309949277,1.36727642734395,0.56374867290802
12,0.6,NA,0.349,0.056,0.893012257504102,TRUE,-78.3203201429831,1.2,-80.1935279110864,1.56100647341945,0.654304603802722
2,0.65,NA,0.349,0.056,0.74119293504488,TRUE,-10.4135090096474,1,-11.0131633020706,0.599654292423174,0.631020171798089
3,0.65,NA,0.349,0.056,0.808657465495608,TRUE,-34.401294145638,2,-36.1214745025169,0.860090178439473,0.54632757455844
