"k","alpha","ntop","lambda","nu","cindex","convergence","cutpoint_abs","z_cutpoint","lp_mean","lp_sd","cindex_dichot"
8,0.3,270,0.349,0.056,0.778110221021137,TRUE,-26229.7562053636,2,-27979.5318303917,874.887812514054,0.54852330856095
9,0.3,270,0.349,0.056,0.757118038799344,TRUE,-22405.3539031541,2,-24066.8628413285,830.754469087225,0.542177396004247
10,0.3,270,0.349,0.056,0.798233761219959,TRUE,13011.5170922077,2,10911.9595840977,1049.778754055,0.544614419457581
11,0.3,270,0.349,0.056,0.81652350159251,TRUE,-34154.6991172717,1.2,-34854.664157046,583.304199811888,0.629186371971817
12,0.3,270,0.349,0.056,0.847698098639127,TRUE,-18504.2031637229,1,-19201.1287502045,696.925586481617,0.679205675127883
2,0.35,270,0.349,0.056,0.705096033201428,TRUE,-5763.61088161559,2,-6769.16832033707,502.778719360737,0.544662677347746
3,0.35,270,0.349,0.056,0.737235788051346,TRUE,-20327.0366464595,2,-21971.2024644187,822.082908979623,0.534118328346685
4,0.35,270,0.349,0.056,0.739359135218608,TRUE,-22792.0155786302,1.4,-24149.3691702854,969.538279753714,0.587974133770871
5,0.35,270,0.349,0.056,0.765080590676576,TRUE,-16150.4981521189,2,-18343.5520743534,1096.52696111723,0.533177299488466
6,0.35,270,0.349,0.056,0.763584596081459,TRUE,-24603.6018929172,0.8,-25442.022100809,1048.02525986482,0.64653508348615
7,0.35,270,0.349,0.056,0.780137052408069,TRUE,-24920.0543727367,0.6,-25489.0362697212,948.303161640809,0.662604960911109
8,0.35,270,0.349,0.056,0.783708136280282,TRUE,-27335.0356312573,1.2,-28324.0917449472,824.213428074847,0.620572338577357
9,0.35,270,0.349,0.056,0.771788437409517,TRUE,-22526.2183118687,2,-24135.5881474132,804.684917772275,0.547968342824052
10,0.35,270,0.349,0.056,0.828781005694431,TRUE,-15493.9321131316,1.4,-16676.4441778632,844.651474808308,0.622936975195444
11,0.35,270,0.349,0.056,0.837901746935624,TRUE,-31733.8354921396,1.2,-32395.6035677814,551.473396368151,0.644604767879548
12,0.35,270,0.349,0.056,0.860438181642699,TRUE,-17769.8383678468,2,-19047.2478218102,638.704726981666,0.547582279702731
2,0.4,270,0.349,0.056,0.714651095454107,TRUE,-6677.63048866652,2,-7778.93155760431,550.650534468896,0.543335585368208
3,0.4,270,0.349,0.056,0.752437023453335,TRUE,-18967.3306058063,2,-20553.8144588207,793.241926507229,0.529075378824438
4,0.4,270,0.349,0.056,0.744474471576103,TRUE,-18485.6274869352,2,-20074.9720566455,794.672284855174,0.54584499565679
5,0.4,270,0.349,0.056,0.783418588939292,TRUE,-16578.7827849024,1.2,-17761.7120680761,985.774402644697,0.622502654183959
6,0.4,270,0.349,0.056,0.782887752147476,TRUE,-22815.6448283443,1,-23776.7176302821,961.07280193777,0.636907634398224
7,0.4,270,0.349,0.056,0.776710742206351,TRUE,-10554.5342269932,2,-12354.8440152739,900.154894140381,0.552094392433163
8,0.4,270,0.349,0.056,0.837756973265129,TRUE,-20772.3777967836,1.6,-21854.5296131742,676.344885244118,0.592631020171798
9,0.4,270,0.349,0.056,0.782791236367146,TRUE,-22600.6993940986,2,-24172.7555301456,786.028068023492,0.547968342824052
10,0.4,270,0.349,0.056,0.854695492713059,TRUE,-18532.3615704718,2,-19857.2530092178,662.445719373005,0.551828974037255
11,0.4,270,0.349,0.056,0.853778592799923,TRUE,-26052.9748518788,1.6,-26988.781107972,584.878910058296,0.598976932728501
12,0.4,270,0.349,0.056,0.830083968728887,TRUE,-16374.8675836491,2,-17902.5259544603,763.829185405607,0.542032622333751
2,0.45,270,0.349,0.056,0.719428626580446,TRUE,-5134.19709370984,2,-6299.28766424217,582.545285266163,0.542032622333751
3,0.45,270,0.349,0.056,0.767396969404498,TRUE,-18403.4289253573,2,-19916.8234410129,756.697257827805,0.5346491651385
4,0.45,270,0.349,0.056,0.759337901746936,TRUE,-21317.0966568248,2,-22913.3944884004,798.148915787793,0.552649358170061
5,0.45,270,0.349,0.056,0.799874529485571,TRUE,-15855.9056507602,1.8,-17505.3838346739,916.376768840928,0.546206929833028
6,0.45,270,0.349,0.056,0.802963034456134,TRUE,-20866.5865243814,2,-22592.8873306723,863.15040314545,0.545820866711707
7,0.45,270,0.349,0.056,0.785300646655728,TRUE,-8916.66297299834,2,-10660.7495461474,872.043286574526,0.552094392433163
8,0.45,270,0.349,0.056,0.856481034649165,TRUE,-20085.7175538698,2,-21292.837053902,603.559750016095,0.553156066016794
9,0.45,270,0.349,0.056,0.792442814400154,TRUE,-22585.1977219,2,-24132.6970750593,773.74967657964,0.544710935237911
10,0.45,270,0.349,0.056,0.866615191583824,TRUE,-22178.4638823751,2,-23310.0445430139,565.790330319389,0.551828974037255
11,0.45,270,0.349,0.056,0.861741144677155,TRUE,-25181.7430246823,2,-26295.0885314091,556.672753363354,0.547534021812566
12,0.45,270,0.349,0.056,0.845574751471866,TRUE,-15584.5298988948,2,-16979.1554148259,697.312757965589,0.547172087636329
2,0.5,270,0.349,0.056,0.727970273139658,TRUE,-4924.92750020509,1.8,-6053.62028255244,627.051545748527,0.546375832448605
3,0.5,270,0.349,0.056,0.780233568188399,TRUE,-17425.5396423861,2,-18895.1831450118,734.821751312823,0.530571373419554
4,0.5,270,0.349,0.056,0.754077791718946,TRUE,-23975.3631933817,2,-25730.8889888641,877.762897741222,0.54039185406814
5,0.5,270,0.349,0.056,0.806148055207026,TRUE,-26103.4995892631,1,-26951.5835417094,848.083952446287,0.636256152880996
6,0.5,270,0.349,0.056,0.820432390695879,TRUE,-20749.3232884204,2,-22313.1183812326,781.897546406092,0.545820866711707
7,0.5,270,0.349,0.056,0.792732361741145,TRUE,-8998.34718409478,1.6,-10339.7162636431,838.355674717703,0.583100086864202
8,0.5,270,0.349,0.056,0.843065341183283,TRUE,-24049.2215304386,2,-25340.9110949961,645.844782278742,0.559888041694817
9,0.5,270,0.349,0.056,0.853682077019593,TRUE,-18280.9361017735,1.4,-19265.0405139262,702.931722966246,0.635484026638355
10,0.5,270,0.349,0.056,0.85614322941801,TRUE,-21235.9269896183,2,-22444.876843641,604.474927011329,0.53732747804266
11,0.5,270,0.349,0.056,0.87385387510858,TRUE,-24163.5442094292,2,-25209.6191436931,523.037467131961,0.553493871247949
12,0.5,270,0.349,0.056,0.825837274394363,TRUE,-14740.4739655873,1.8,-16114.1749347329,763.167205080919,0.566981951549078
2,0.55,270,0.349,0.056,0.733230383167648,TRUE,-5107.92320298631,2,-6397.17134230985,644.624069661773,0.541260496091111
3,0.55,270,0.349,0.056,0.790802046134543,TRUE,-16647.1143872521,2,-18067.1413290551,710.013470901501,0.526710742206351
4,0.55,270,0.349,0.056,0.76387414342245,TRUE,-19055.961712098,1.8,-20679.8051894788,902.135265211548,0.547727053373227
5,0.55,270,0.349,0.056,0.832110800115819,TRUE,-24936.5871026473,1,-25687.8987275748,751.311624927533,0.647210693948461
6,0.55,270,0.349,0.056,0.855226329504874,TRUE,-20903.861805992,2,-22146.6446117545,621.391402881285,0.547847698098639
7,0.55,270,0.349,0.056,0.799343692693755,TRUE,-9204.6257317026,2,-10874.3880229634,834.881145630408,0.549440208474085
8,0.55,270,0.349,0.056,0.883167647910433,TRUE,-22888.1808390397,2,-23881.5268519549,496.673006457626,0.553156066016794
9,0.55,270,0.349,0.056,0.855033297944214,TRUE,-19992.1278277061,1.4,-20937.1529776541,675.017964248601,0.630682366566934
10,0.55,270,0.349,0.056,0.852427371875302,TRUE,-23919.8315434469,2,-25133.1662267124,606.667341632768,0.531150468101535
11,0.55,270,0.349,0.056,0.892143615481131,TRUE,-22359.616644287,2,-23301.6515102812,471.017432997094,0.544783322073159
12,0.55,270,0.349,0.056,0.884470610944889,TRUE,-24115.5776745301,1.8,-24983.4085922619,482.128287628815,0.559670881189074
2,0.6,270,0.349,0.056,0.737235788051346,TRUE,-5382.98405364588,2,-6692.42580769664,654.720877025382,0.541260496091111
3,0.6,270,0.349,0.056,0.801032718849532,TRUE,-16041.408009719,1.8,-17276.3328880142,686.069376830677,0.55187723192742
4,0.6,270,0.349,0.056,0.772464047871827,TRUE,-17973.4087379714,1.8,-19463.8441328794,828.019663837779,0.544445516842004
5,0.6,270,0.349,0.056,0.852813434996622,TRUE,-22212.50059738,2,-23580.8785621336,684.188982376804,0.538340893736126
6,0.6,270,0.349,0.056,0.861355081555834,TRUE,-22004.2080551049,2,-23190.740593111,593.266269003029,0.547847698098639
7,0.6,270,0.349,0.056,0.80465206061191,TRUE,-8848.55136458639,1.8,-10333.2106512574,824.810714817229,0.567512788340894
8,0.6,270,0.349,0.056,0.89059936299585,TRUE,-23245.879766956,1.2,-23816.6620781055,475.651925957924,0.637366084354792
9,0.6,270,0.349,0.056,0.871054917479008,TRUE,-23447.0974786551,1.4,-24236.5887551663,563.922340365127,0.633408937361259
10,0.6,270,0.349,0.056,0.892047099700801,TRUE,-25236.3524330552,2,-26170.6895417124,467.168554328592,0.549126532188013
11,0.6,270,0.349,0.056,0.883264163690763,TRUE,-22305.0045111342,1.4,-23040.0711031406,525.047565718876,0.619003957146994
12,0.6,270,0.349,0.056,0.893012257504102,TRUE,-23521.6554269938,1.2,-24084.2290679602,468.811367472028,0.654304603802722
2,0.65,270,0.349,0.056,0.74119293504488,TRUE,-5577.22597765259,2,-6922.36218280732,672.568102577364,0.541260496091111
3,0.65,270,0.349,0.056,0.808657465495608,TRUE,-15544.3142264288,1.8,-16777.4613721718,685.081747634998,0.561625325740759
4,0.65,270,0.349,0.056,0.783901167840942,TRUE,-19682.9200133728,1.8,-20911.5638964178,682.579935025006,0.555786121030789
5,0.65,270,0.349,0.056,0.843499662194769,TRUE,-25305.9027507543,1.8,-26470.5676300306,647.036044042394,0.557668178747225
6,0.65,270,0.349,0.056,0.882443779557958,TRUE,-20097.1474519186,1.8,-21030.0145385107,518.259492551167,0.58001158189364
7,0.65,270,0.349,0.056,0.810443007431715,TRUE,-8515.50129590946,2,-10133.0762977752,808.78750093288,0.54632757455844
8,0.65,270,0.349,0.056,0.819032911881093,TRUE,-20490.2596814787,1.8,-21783.9744944022,718.730451624172,0.564134736029341
9,0.65,270,0.349,0.056,0.847939388089953,TRUE,-17421.4730106462,1,-18133.2064564631,711.733445816896,0.663087539812759
10,0.65,270,0.349,0.056,0.890116784094199,TRUE,-26115.1766952676,2,-27026.8220955747,455.822700153522,0.538606312132034
11,0.65,270,0.349,0.056,0.869993243895377,TRUE,-17942.293910243,2,-19188.8675145132,623.286802135101,0.536917285976257
12,0.65,270,0.349,0.056,0.896583341376315,TRUE,-23795.8320258696,1.2,-24345.8732434741,458.367681337045,0.661133095261075
2,0.7,270,0.349,0.056,0.744474471576103,TRUE,-5795.47637213662,2,-7163.83242777999,684.178027821682,0.541260496091111
3,0.7,270,0.349,0.056,0.816909564713831,TRUE,-15172.2349639657,2,-16494.4910256716,661.128030852981,0.526903773767011
4,0.7,270,0.349,0.056,0.791670688157514,TRUE,-19011.5323242102,2,-20358.2199359564,673.343805873117,0.545772608821542
5,0.7,270,0.349,0.056,0.845429977801371,TRUE,-25449.2453401391,1.8,-26585.4789078131,631.240870930014,0.56078081266287
6,0.7,270,0.349,0.056,0.886256152880996,TRUE,-19944.5585448778,2,-20957.2003581107,506.320906616444,0.544783322073159
7,0.7,270,0.349,0.056,0.81613743847119,TRUE,-26117.7068483336,2,-27385.9586058032,634.125878734786,0.530909178650709
8,0.7,270,0.349,0.056,0.823762185117267,TRUE,-20932.7035741038,1.6,-22064.700923323,707.498343261966,0.585633626097867
9,0.7,270,0.349,0.056,0.890840652446675,TRUE,-23827.9044329004,2,-24743.7172424971,457.906404798317,0.543504487983785
10,0.7,270,0.349,0.056,0.909516455940546,TRUE,-23151.2826917125,2,-24008.3141476894,428.515727988446,0.544783322073159
11,0.7,270,0.349,0.056,0.873998648779075,TRUE,-16783.694968646,2,-18018.4147069913,617.359869172649,0.536917285976257
12,0.7,270,0.349,0.056,0.896197278254995,TRUE,-23432.1282460294,1.4,-24080.5971096771,463.192045462678,0.621754656886401
2,0.75,270,0.349,0.056,0.747369944986005,TRUE,-6518.58744063451,1.2,-7329.6249636467,675.864602510157,0.596805327671074
3,0.75,270,0.349,0.056,0.824775600810733,TRUE,-14843.0080011374,2,-16177.494517161,667.243258011793,0.524515008203841
4,0.75,270,0.349,0.056,0.797365119196989,TRUE,-18508.6250006869,2,-19809.5860067519,650.480503032486,0.545772608821542
5,0.75,270,0.349,0.056,0.856770581990155,TRUE,-24006.0659360915,2,-25200.1169578401,597.025510874326,0.538823472637776
6,0.75,270,0.349,0.056,0.863478428723096,TRUE,-24292.3232413501,2,-25461.6588008598,584.667779754857,0.542828877521475
7,0.75,270,0.349,0.056,0.819708522343403,TRUE,-25733.2317963224,2,-27003.6204360897,635.194319883634,0.530909178650709
8,0.75,270,0.349,0.056,0.883601968921919,TRUE,-25216.4652061043,1.6,-25996.2083204962,487.339446494959,0.602861692886787
9,0.75,270,0.349,0.056,0.895955988804169,TRUE,-23545.3132851548,2,-24416.3298079342,435.508261389696,0.548499179615867
10,0.75,270,0.349,0.056,0.89663159926648,TRUE,-16487.805743778,0.8,-16947.9128229484,575.133848963058,0.722299971045266
11,0.75,270,0.349,0.056,0.878245343113599,TRUE,-18124.4664730472,1.8,-19192.0537538729,593.10404490315,0.572724640478718
12,0.75,270,0.349,0.056,0.894894315220539,TRUE,-23635.1954559405,1.6,-24375.9468756654,462.969637328012,0.585199305086382
2,0.8,270,0.349,0.056,0.750024128945083,TRUE,-12029.6436732053,2,-13173.325848145,571.841087469847,0.537375735932825
3,0.8,270,0.349,0.056,0.831579963324004,TRUE,-14577.3589441386,2,-15896.9870613614,659.814058611399,0.534769809863913
4,0.8,270,0.349,0.056,0.803445613357784,TRUE,-17804.8698828427,2,-19088.6328585909,641.881487874091,0.545772608821542
5,0.8,270,0.349,0.056,0.84523694624071,TRUE,-25619.6175466008,2,-26827.2941335636,603.838293481395,0.543769906379693
6,0.8,270,0.349,0.056,0.882733326898948,TRUE,-24186.5188373353,2,-25151.7270041835,482.604083424105,0.548209632274877
7,0.8,270,0.349,0.056,0.826416369076344,TRUE,-24776.5906340406,2,-26052.9298797162,638.1696228378,0.530909178650709
8,0.8,270,0.349,0.056,0.897258951838626,TRUE,-22935.7259167368,2,-23880.1517642038,472.21292373349,0.559333075957919
9,0.8,270,0.349,0.056,0.902326030305955,TRUE,-22807.0022486417,2,-23662.4466835018,427.722217430056,0.548499179615867
10,0.8,270,0.349,0.056,0.901264356722324,TRUE,-27415.0969776135,0.8,-27764.0221927451,436.156518914544,0.721117652736222
11,0.8,270,0.349,0.056,0.921677444262137,TRUE,-18864.837257082,1.6,-19589.4865668245,452.90581858909,0.59255863333655
12,0.8,270,0.349,0.056,0.91347360293408,TRUE,-21642.2373757635,2,-22503.3528279073,430.557726071941,0.550453624167551
2,0.85,270,0.349,0.056,0.756297654666538,TRUE,-12152.347121576,1.8,-13179.876365238,570.849579812203,0.542466943345237
3,0.85,270,0.349,0.056,0.826657658527169,TRUE,-14621.8473127969,2,-15902.1921860456,640.172436624314,0.550960332014284
4,0.85,270,0.349,0.056,0.808174886593958,TRUE,-17462.1832568515,2,-18740.1670209248,638.991882036629,0.551032718849532
5,0.85,270,0.349,0.056,0.863961007624747,TRUE,-22870.0860214368,1.8,-23913.0249435059,579.410512260622,0.573327864105781
6,0.85,270,0.349,0.056,0.884132805713734,TRUE,-20083.6693534557,2,-21144.046635751,530.188641147628,0.550164076826561
7,0.85,270,0.349,0.056,0.825789016504198,TRUE,-5862.19062319757,2,-7403.9926448652,770.901010833814,0.540150564617315
8,0.85,270,0.349,0.056,0.891468005018821,TRUE,-24225.0508310323,1.6,-24979.0974502866,471.279137033957,0.593692693755429
9,0.85,270,0.349,0.056,0.916948171025963,TRUE,-20740.736506894,2,-21575.1469389162,417.205216011078,0.55416948171026
10,0.85,270,0.349,0.056,0.902036482964965,TRUE,-23645.0302796849,1.2,-24175.4355408226,442.004384281415,0.653822024901071
11,0.85,270,0.349,0.056,0.847408551298137,TRUE,-23459.3049236579,1.2,-24245.6013284299,655.247003976647,0.653291188109256
12,0.85,270,0.349,0.056,0.903532477560081,TRUE,-21343.8575394337,1.8,-22162.0503571794,454.551565414317,0.575813145449281
2,0.9,270,0.349,0.056,0.765418395907731,TRUE,-14571.453742812,0,-14571.453742812,503.757970714595,0.691028858218319
3,0.9,270,0.349,0.056,0.8217836116205,TRUE,-12193.0804641187,2,-13513.0642117259,659.991873803588,0.541936106553422
4,0.9,270,0.349,0.056,0.814158864974423,TRUE,-17531.8127006641,1.4,-18405.4822987124,624.049712891645,0.613454299778014
5,0.9,270,0.349,0.056,0.855033297944214,TRUE,-23720.0199902241,1.8,-24795.6399082759,597.566621139886,0.553156066016794
6,0.9,270,0.349,0.056,0.899864877907538,TRUE,-20986.7567853075,1.8,-21880.3917720426,496.463881519506,0.565172280667889
7,0.9,270,0.349,0.056,0.83326898947978,TRUE,-23433.4753586965,2,-24718.5401137305,642.532377516995,0.536048643953286
8,0.9,270,0.349,0.056,0.897403725509121,TRUE,-23866.811702757,1.6,-24606.9023769564,462.556671374587,0.589180581024998
9,0.9,270,0.349,0.056,0.902905124987936,TRUE,-32647.7995097956,1.4,-33206.6533320784,399.181301630548,0.613936878679664
10,0.9,270,0.349,0.056,0.905318019496188,TRUE,-23068.6296305369,0.8,-23442.9016496375,467.840023875836,0.713975484991796
11,0.9,270,0.349,0.056,0.853826850690088,TRUE,-16394.3682896493,1.6,-17492.6907428281,686.451533236775,0.596009072483351
12,0.9,270,0.349,0.056,0.903822024901071,TRUE,-24592.986821512,1.8,-25392.2196227725,444.018222922466,0.575933790174694
2,0.95,270,0.349,0.056,0.77545603706206,TRUE,-14724.1478563425,0.2,-14825.2972164613,505.746800593914,0.694382781584789
3,0.95,270,0.349,0.056,0.822845285204131,TRUE,-11426.9684083507,2,-12712.3866663051,642.709128977191,0.541936106553422
4,0.95,270,0.349,0.056,0.819949811794228,TRUE,-16907.9221072276,1.8,-18017.3581870411,616.353377674142,0.56633047003185
5,0.95,270,0.349,0.056,0.834330663063411,TRUE,-21070.303057404,0.6,-21442.6881076576,620.641750422594,0.701862754560371
6,0.95,270,0.349,0.056,0.848808030112923,TRUE,-16506.6087762642,2,-17826.6164152827,660.003819509265,0.542225653894412
7,0.95,270,0.349,0.056,0.835923173438857,TRUE,-21789.5167385996,2,-23057.5324555727,634.00785848657,0.545338287810057
8,0.95,270,0.349,0.056,0.867483833606795,TRUE,-19093.6971565033,1.6,-20106.7529475545,633.159869407039,0.592027796544735
9,0.95,270,0.349,0.056,0.89711417816813,TRUE,-22496.7774697975,2,-23414.4083271933,458.815428697927,0.550405366277386
10,0.95,270,0.349,0.056,0.905704082617508,TRUE,-22361.622080049,1.4,-23016.048013035,467.447094990027,0.607180774056558
11,0.95,270,0.349,0.056,0.854743750603224,TRUE,-16393.1047683049,2,-17756.7526186784,681.823925186777,0.551467039861017
12,0.95,270,0.349,0.056,0.908165235015925,TRUE,-22024.273584025,2,-22872.1997047536,423.963060364294,0.550453624167551
